,Product_Url,Product_Name,Product Price,Rating,Number of reviews,Description,ASIN,Product Description,Manufacturer
19,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_19?keywords=bags&qid=1679485209&sr=8-19,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,"₹1,075",4.4 out of 5,"5,457 global ratings","Outer material: synthetic, color: brown
Waterproof
Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)
Number of compartments: 2
Laptop compatibility: yes, laptop size: 16strap type: adjustable
Anti theft waterproof bag with anti sweat fabric on back and shoulder straps
USB and headphone cable slot",B07G4F6XFH,"Product Dimensions : 48 x 32 x 14 cm; 558 Grams
Date First Available : 2 August 2018
Manufacturer : Gear Merchandise PVT LTD
ASIN : B07G4F6XFH
Item model number : LBPCLSLTH0201
Country of Origin : India
Department : unisex-adult
Manufacturer : Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366
Packer : Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366
Item Weight : 558 g
Item Dimensions LxWxH : 48 x 32 x 14 Centimeters
Net Quantity : 1 count
Included Components : Laptop Backpack
Generic Name : Laptop Backpack","Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366"
20,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_20?keywords=bags&qid=1679485209&sr=8-20,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",₹799,3.9 out of 5,719 global ratings,"100% Polyester, High Quality, Durable and Water Resistant Fabric
2 compartment backpack with a padded sleeve for laptops, can hold upto 17 inch laptop/notebook
Front storage pocket keeps smaller items neatly organized and easy to access
Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects
Age Range Description: Adult; Closure Type: Zipper; Special Features: Lightweight",B09B25Z8M2,"Product Dimensions : 46 x 32 x 16 cm; 350 Grams
Date First Available : 22 July 2021
Manufacturer : Safari Industries
ASIN : B09B25Z8M2
Item model number : QUILL19CBBLK
Country of Origin : India
Department : unisex-adult
Manufacturer : Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059
Packer : 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059
Importer : 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059
Item Weight : 350 g
Item Dimensions LxWxH : 46 x 32 x 16 Centimeters
Generic Name : Laptop Backpack","Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059"
21,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NDEzMzA1NzM3NzcxNjg3OjE2Nzk0ODUyMDk6c3BfYnRmOjIwMTA1NDUxODUxNTk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BR1D4SL1%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dbags%26qid%3D1679485209%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,800",4.9 out of 5,17 global ratings,"Care Instructions: Wipe with Damp Cloth
Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product.
Handcrafted with care and made up of premium quality robust material
Padded laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side
Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket
GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty",B0BR1D4SL1,"Product Dimensions : 13.5 x 31 x 44 cm; 590 Grams
Date First Available : 24 December 2022
Manufacturer : Acefour Accessories Pvt. Ltd.
ASIN : B0BR1D4SL1
Item model number : 2700EBP2BLK
Country of Origin : India
Department : unisex-adult
Manufacturer : Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India
Packer : Acefour Accessories Pvt. Ltd.
Item Weight : 590 g
Item Dimensions LxWxH : 13.5 x 31 x 44 Centimeters
Net Quantity : 1.00 count","Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
25,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTcyNjU3Mzc3MTY0NTU5OjE2Nzk0ODUyMTY6c3BfYXRmX25leHQ6MjAxMjQzMTEwMjQ4OTg6OjA6Og&url=%2Fuppercase-Backpack-2300EBP1-resistant-sustainable%2Fdp%2FB0BWNCV31F%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dbags%26qid%3D1679485216%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,600",4 out of 5,374 global ratings,"Care Instructions: Wipe with Damp Cloth
Handcrafted with care and made up of premium quality robust material
Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage
Right sized with sturdy stitching; Dimension: (28.2 cm x 14.1 cm x 42.2 cm); Warranty: 750 days international warranty
GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596)
Padded laptop compartment fits up to 14”, Back padding with Air mesh; Front access pocket for you to easily carry important small items with two bottle holders on the sides",B0BWNCV31F,"Product Dimensions : 14.1 x 28.2 x 42.2 cm; 599 Grams
Date First Available : 23 February 2023
Manufacturer : Acefour Accessories Pvt. Ltd.
ASIN : B0BWNCV31F
Item model number : 2300EBP1TBL
Country of Origin : India
Department : unisex-adult
Manufacturer : Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India
Packer : Acefour Accessories Pvt. Ltd.
Item Weight : 599 g
Item Dimensions LxWxH : 14.1 x 28.2 x 42.2 Centimeters
Net Quantity : 1.00 count","Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
27,https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_20?keywords=bags&qid=1679485216&sr=8-20,ADISA Light Weight Laptop Backpack 32 Ltrs,₹499,4 out of 5,"5,651 global ratings","Adjustable Shoulder Handles / Two Bottle holders / Padded Handle / Reflector Logo
Dimensions : LxWxH- 31 x 18 x 47 cms
Laptop : 15.6 inches and below (Bigger than 15.6 not recommended)
No. of Compartments : 3 with full padding
NOT INCLUDED : NO RAIN COVER, Laptop, Headphones & Cable (Images only for display)",B07F3X45WZ,"Product Dimensions : 31 x 25 x 46 cm; 430 Grams
Date First Available : 28 June 2018
Manufacturer : ADISA
ASIN : B07F3X45WZ
Item model number : BP005
Country of Origin : India
Department : Men
Manufacturer : ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com
Packer : ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com
Item Weight : 430 g
Item Dimensions LxWxH : 31 x 25 x 46 Centimeters
Net Quantity : 1.00 Unit
Included Components : Laptop backpack only
Generic Name : Laptop backpack","ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com"
28,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_21?keywords=bags&qid=1679485216&sr=8-21,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,299",4.1 out of 5,8 global ratings,"Care Instructions: Hand Wash Only
Well Organized compartment ,Security Back Pocket",B0BTD4FK9G,"Product Dimensions : 20 x 32.5 x 47.5 cm; 510 Grams
Date First Available : 30 January 2023
Manufacturer : EXPERTS
ASIN : B0BTD4FK9G
Item model number : LT9 (0) 01 002
Country of Origin : China
Department : mens
Manufacturer : EXPERTS, China
Packer : China
Importer : Importer Name ltd., Street No. 24/4, New Delhi, India - 110011, Contact: +91-111-000-2400, service@importer.com
Item Weight : 510 g
Item Dimensions LxWxH : 20 x 32.5 x 47.5 Centimeters
Generic Name : BACKPACK","EXPERTS, China"
29,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_22?keywords=bags&qid=1679485216&sr=8-22,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9 out of 5,"2,344 global ratings","SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files & all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfort
COMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.
SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack.
ENDURING & LONG LASTING LAPTOP BACKPACK: This trekking backpack for men / laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including heavy rains and extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself.
OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Rain Cover, 17 inch Laptop compartment, Internal Organiser (Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc.",B09VCLZ3K4,"Product Dimensions : 22 x 30 x 50 cm; 670 Grams
Date First Available : 11 March 2022
Manufacturer : Amazing Bags
ASIN : B09VCLZ3K4
Item model number : laptop bag
Country of Origin : India
Department : unisex-adult
Manufacturer : Amazing Bags
Item Weight : 670 g
Item Dimensions LxWxH : 22 x 30 x 50 Centimeters",Amazing Bags
31,https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_24?keywords=bags&qid=1679485216&sr=8-24,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",₹839,4.2 out of 5,"4,961 global ratings","Large sized black and grey colour trekking rucksack for men and women for travel use as well as for trendy college and school students. Huge compartment size that can fit upto several pairs of clothes with ease with separate pocket for shoesMultiple pockets for other accessories and water bottle<br>
External clips to hold a yoga mat on the backside available with this rucksack. Also available on both sides of the rucksack are additional clips which can be used to carry camera stands as well as other climbing equipments<br>
The rucksack features a sleek and ergonomic design with a balanced weight distribution through its shoulder straps and waist strapsThis makes this product a suitable alternative to bulky and unsightly rucksacksThe compact design of this trekking bag helps you to rest it comfortably on your shoulders while accommodating all your essentials with ease<br>
Capacity: 55 L ; weight: 700 grams; dimensions: 35 cms x 25 cms x 65 cms (LxWxH); 1 Year manufacturer warranty against defects; Lining Description: Polyester; Special Features: Back Padding; Pocket Description: Utility Pocket; Style Name: Rucksack Backpacks; Closure Type: Zipper; Age Range Description: Adult; Color Name: Black Grey<br>
Water Resistance Level: Water Resistant; Warranty Description: 1 Year Manufacturer Warranty Against Defects Only<br>",B07YDGQQN5,"Product Dimensions : 35 x 25 x 65 cm; 700 Grams
Date First Available : 24 September 2019
Manufacturer : Fur Jaden
ASIN : B07YDGQQN5
Item model number : BM110_BlackGrey
Country of Origin : India
Manufacturer : Fur Jaden, Fur Jaden 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028
Packer : Fur Jaden 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028
Item Weight : 700 g
Item Dimensions LxWxH : 35 x 25 x 65 Centimeters
Net Quantity : 1 count
Included Components : 1 Rucksack
Generic Name : Rucksack","Fur Jaden, Fur Jaden 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028"
36,https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_29?keywords=bags&qid=1679485216&sr=8-29,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",₹799,3.9 out of 5,"2,431 global ratings","HIGH QUALITY FABRIC: Our lightweight yet durable bags are made of 100% polyester and water resistant fabric. This casual backpack can be by boys and girls for school, college, coaching, tution, or everyday outings.
FRONT POCKET: Our trendy unisex bag pack has a front storage pocket that keeps small items neatly organized and easy to access
MESH POCKET: Our fancy and stylish backpacks have mesh pockets on both sides to accommodate your water bottle and umbrella
COMFORT: Our 26 liter bag has mesh padding on back to help carry heavy items. It also provides superior comfort with padded adjustable shoulder straps
WARRANTY: All of our bags come with 1-year International Warranty against manufacturing defects",B09B29F66W,"Product Dimensions : 32 x 46 x 16 cm; 350 Grams
Date First Available : 22 July 2021
Manufacturer : Safari Industries
ASIN : B09B29F66W
Item model number : FLASH19CBBLK
Country of Origin : India
Department : unisex-adult
Manufacturer : Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059
Packer : 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059
Importer : 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059
Item Weight : 350 g
Item Dimensions LxWxH : 32 x 46 x 16 Centimeters
Generic Name : Backpack","Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059"
39,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_32?keywords=bags&qid=1679485216&sr=8-32,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",₹799,4.1 out of 5,495 global ratings,"100% Polyester, High Quality, Durable and Water Resistant Fabric
2 compartment backpack with a padded sleeve for laptops, can hold upto 17 inch laptop/notebook
Front storage pocket keeps smaller items neatly organized and easy to access
Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects
Special Features: Lightweight; Closure Type: Zipper; Age Range Description: Adult",B09B28TKLG,"Product Dimensions : 12.6 x 18.11 x 6.3 cm; 350 Grams
Date First Available : 22 July 2021
Manufacturer : Safari Industries
ASIN : B09B28TKLG
Item model number : QUILL19CBBLU
Country of Origin : India
Department : unisex-adult
Manufacturer : Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059
Packer : 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059
Importer : 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059
Item Weight : 350 g
Item Dimensions LxWxH : 12.6 x 18.1 x 6.3 Centimeters
Generic Name : Laptop Backpacks","Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059"
40,https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_33?keywords=bags&qid=1679485216&sr=8-33,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",₹929,3.9 out of 5,752 global ratings,"Innovative Design: AirCase Laptop Backpack is made of Premium Vegan Leather for your 15.6 Inch Laptop. This Laptop Backpack has 2 Front Pocket and 2 Main Compartment for Laptop, Tablet and other Main compartment for wallets dairy, clothes, etc. There is two way Cortical Tail Zipper with leather pull tail, Fashionable and Novel, keeping up with the current trend.
Large Storage: There is 2 Main Compartment One for 15.6 inch Laptop, Tablet with a secure Velcro closure and other for main compartment for your other belonging like Cloth, Wallet, Book, Diary, etc. There is also 2 front zipper pocket for Mobile, Charger, Power Adapter, Cable, Power Bank, Keys etc.convenient to carry at school college office travelling for students boys girls
Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack.
Shoulder Straps: Breathable Mesh Padding at back which is design for back relief and shoulder straps for extra comfort with adjustable side straps for a better fit.
Specifications:- Work with -15.6"" Laptops and Under, CAPACITY- 22L, DIMENSIONS – 46-cm X 29-cm X 19-cm, WEIGHT - 0.58 kg, WARRANTY – 1 Year under Manufacturing Defect Only.",B07QN4KXWG,"Product Dimensions : 29.01 x 46 x 19 cm; 580 Grams
Date First Available : 11 April 2019
Manufacturer : AirCase
ASIN : B07QN4KXWG
Item model number : C34-P
Country of Origin : India
Department : unisex-adult
Manufacturer : AirCase, Istuff365, Godown No.H-3, Dharam Complex, Thane-421302
Packer : Istuff365, Godown No.H-3, Dharam Complex, Thane-421302
Item Weight : 580 g
Item Dimensions LxWxH : 29 x 46 x 19 Centimeters
Net Quantity : 1 Unit
Included Components : 1 Laptop Backpack
Generic Name : Laptop Backpack","AirCase, Istuff365, Godown No.H-3, Dharam Complex, Thane-421302"
44,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTcyNjU3Mzc3MTY0NTU5OjE2Nzk0ODUyMTY6c3BfYnRmOjIwMTI1ODk5OTIwNjk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BWNBQXDZ%2Fref%3Dsr_1_37_sspa%3Fkeywords%3Dbags%26qid%3D1679485216%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,800",4.9 out of 5,17 global ratings,"Care Instructions: Wipe with Damp Cloth
Handcrafted with care and made up of premium quality robust material
Padded laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side
Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket
GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty",B0BWNBQXDZ,"Product Dimensions : 13.5 x 31 x 44 cm; 509 Grams
Date First Available : 23 February 2023
Manufacturer : Acefour Accessories Pvt. Ltd.
ASIN : B0BWNBQXDZ
Item model number : 2700EBP2BLU
Country of Origin : India
Department : unisex-adult
Manufacturer : Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India
Packer : Acefour Accessories Pvt. Ltd.
Item Weight : 509 g
Item Dimensions LxWxH : 13.5 x 31 x 44 Centimeters
Net Quantity : 1.00 count","Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
45,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTcyNjU3Mzc3MTY0NTU5OjE2Nzk0ODUyMTY6c3BfYnRmOjIwMTA1NzE1ODIxNTk4OjowOjo&url=%2Fuppercase-Professional-resistant-sustainable-Anti-theft%2Fdp%2FB0BR1C59R8%2Fref%3Dsr_1_38_sspa%3Fkeywords%3Dbags%26qid%3D1679485216%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty","₹1,900",4.9 out of 5,23 global ratings,"Care Instructions: Wipe with Damp Cloth
Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product.
Handcrafted with care and made up of premium quality robust material
Padded anti-theft laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Pocket under flap and 2 mesh pocket inside main compartment with a bottle holder on the side
Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket
GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty",B0BR1C59R8,"Product Dimensions : 15 x 27.5 x 47 cm; 535 Grams
Date First Available : 24 December 2022
Manufacturer : Acefour Accessories Pvt. Ltd.
ASIN : B0BR1C59R8
Item model number : 2900EBP2BLU
Country of Origin : India
Department : unisex-adult
Manufacturer : Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India
Packer : Acefour Accessories Pvt. Ltd.
Item Weight : 535 g
Item Dimensions LxWxH : 15 x 27.5 x 47 Centimeters
Net Quantity : 1.00 count","Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
47,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDMzMTczNDk1NzEyNTA0OjE2Nzk0ODUyMjI6c3BfYXRmX25leHQ6MjAxMjE0ODk2Mzg0OTg6OjA6Og&url=%2FLOOKMUSTER-Waterproof-Backpack-College-Business%2Fdp%2FB0BS6YGKMC%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dbags%26qid%3D1679485222%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack,₹529,5 out of 5,2 global ratings,"Care Instructions: Dry Clean Only
30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.
Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics. Compatible Laptop Size 16 inch
Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.
Made In India: Lookmuster Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks
Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.",B0BS6YGKMC,"Product Dimensions : 12 x 32 x 45 cm; 500 Grams
Date First Available : 12 January 2023
Manufacturer : Lookmuster
ASIN : B0BS6YGKMC
Item model number : Burfi-P
Country of Origin : India
Department : unisex-adult
Manufacturer : Lookmuster
Item Weight : 500 g
Item Dimensions LxWxH : 12 x 32 x 45 Centimeters
Net Quantity : 1.00 count",Lookmuster
